#ls.bc
 Instructions,FullBranches,PartialBranches,NumBranches,UserTime,NumStates,MallocUsage,NumQueries,NumQueryConstructs,NumObjects,WallTime,CoveredInstructions,UncoveredInstructions,QueryTime,SolverTime,CexCacheTime,ForkTime,ResolveTime,QueryCexCacheMisses,QueryCexCacheHits,Breaks,Returns,Switchs,IndirectBrs,Invokes,Resumes,Unreachables,CleanupRets,CatchRets,CatchPads,CatchSwitchs,FNegs,Adds,FAdds,Subs,FSubs,Muls,FMuls,UDivs,SDivs,FDivs,URems,SRems,FRems,Ands,Ors,Xors,Allocas,Loads,Stores,AtomicCmpXchgs,AtomicRMWs,Fences,GetElementPtrs,Truncs,ZExts,SExts,FPTruncs,FPExts,FPToUIs,FPToSIs,UIToFPs,SIToFPs,IntToPtrs,PtrToInts,BitCasts,AddrSpaceCasts,ICmps,FCmps,PHIs,Selects,Calls,Shls,LShrs,AShrs,VAArgs,ExtractElements,InsertElements,ShuffleVectors,ExtractValues,InsertValues,LandingPads,CleanupPads,Cond
1238356,85,356,3038,1846394.0,0,70029840,18,140,0,1733082.0,7187,40267,230708,232073,231299,0,0,18,-1,184170,2135,102,0,0,0,0,0,0,0,0,0,85591,0,1894,0,143,0,26,0,0,2,0,0,626,35,118,11184,379727,276968,0,0,0,103607,73060,7896,3273,0,0,0,0,0,0,14,262,352,0,93145,0,1753,15,12017,130,1,110,0,0,0,0,0,0,0,0,baseline
1238356,85,356,3038,2036486.0,0,70032152,17,126,0,1678928.0,7187,40267,218323,219532,218796,0,0,17,-1,184170,2135,102,0,0,0,0,0,0,0,0,0,85591,0,1894,0,143,0,26,0,0,2,0,0,626,35,118,11184,379727,276968,0,0,0,103607,73060,7896,3273,0,0,0,0,0,0,14,262,352,0,93145,0,1753,15,12017,130,1,110,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 0 arg00)))
1238356,85,356,3038,2228275.0,0,70029264,17,133,0,1881617.0,7187,40267,250070,251298,250549,0,0,17,-1,184170,2135,102,0,0,0,0,0,0,0,0,0,85591,0,1894,0,143,0,26,0,0,2,0,0,626,35,118,11184,379727,276968,0,0,0,103607,73060,7896,3273,0,0,0,0,0,0,14,262,352,0,93145,0,1753,15,12017,130,1,110,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 1 arg00)))
1238356,85,356,3038,2082870.0,0,70029264,17,133,0,1884106.0,7187,40267,249973,251140,250433,0,0,17,-1,184170,2135,102,0,0,0,0,0,0,0,0,0,85591,0,1894,0,143,0,26,0,0,2,0,0,626,35,118,11184,379727,276968,0,0,0,103607,73060,7896,3273,0,0,0,0,0,0,14,262,352,0,93145,0,1753,15,12017,130,1,110,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 2 arg00)))
1238356,85,356,3038,1941892.0,0,70029264,17,133,0,1652996.0,7187,40267,238892,240061,239331,0,0,17,-1,184170,2135,102,0,0,0,0,0,0,0,0,0,85591,0,1894,0,143,0,26,0,0,2,0,0,626,35,118,11184,379727,276968,0,0,0,103607,73060,7896,3273,0,0,0,0,0,0,14,262,352,0,93145,0,1753,15,12017,130,1,110,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 3 arg00)))
1238356,85,356,3038,2074075.0,0,70029264,17,133,0,1893824.0,7187,40267,263398,264728,263912,0,0,17,-1,184170,2135,102,0,0,0,0,0,0,0,0,0,85591,0,1894,0,143,0,26,0,0,2,0,0,626,35,118,11184,379727,276968,0,0,0,103607,73060,7896,3273,0,0,0,0,0,0,14,262,352,0,93145,0,1753,15,12017,130,1,110,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 4 arg00)))
1238356,85,356,3038,2124718.0,0,70029264,17,133,0,1914657.0,7187,40267,254028,255322,254589,0,0,17,-1,184170,2135,102,0,0,0,0,0,0,0,0,0,85591,0,1894,0,143,0,26,0,0,2,0,0,626,35,118,11184,379727,276968,0,0,0,103607,73060,7896,3273,0,0,0,0,0,0,14,262,352,0,93145,0,1753,15,12017,130,1,110,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 5 arg00)))
1238356,85,356,3038,1766457.0,0,70029264,17,133,0,1726561.0,7187,40267,254271,255475,254772,0,0,17,-1,184170,2135,102,0,0,0,0,0,0,0,0,0,85591,0,1894,0,143,0,26,0,0,2,0,0,626,35,118,11184,379727,276968,0,0,0,103607,73060,7896,3273,0,0,0,0,0,0,14,262,352,0,93145,0,1753,15,12017,130,1,110,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 6 arg00)))
1238356,85,356,3038,1989629.0,0,70029264,17,133,0,1791362.0,7187,40267,252257,253488,252772,0,0,17,-1,184170,2135,102,0,0,0,0,0,0,0,0,0,85591,0,1894,0,143,0,26,0,0,2,0,0,626,35,118,11184,379727,276968,0,0,0,103607,73060,7896,3273,0,0,0,0,0,0,14,262,352,0,93145,0,1753,15,12017,130,1,110,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 7 arg00)))
1238356,85,356,3038,1699773.0,0,70029840,18,140,0,1627732.0,7187,40267,254156,255361,254624,0,0,18,-1,184170,2135,102,0,0,0,0,0,0,0,0,0,85591,0,1894,0,143,0,26,0,0,2,0,0,626,35,118,11184,379727,276968,0,0,0,103607,73060,7896,3273,0,0,0,0,0,0,14,262,352,0,93145,0,1753,15,12017,130,1,110,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 8 arg00)))
