#cat.bc
 Instructions,FullBranches,PartialBranches,NumBranches,UserTime,NumStates,MallocUsage,NumQueries,NumQueryConstructs,NumObjects,WallTime,CoveredInstructions,UncoveredInstructions,QueryTime,SolverTime,CexCacheTime,ForkTime,ResolveTime,QueryCexCacheMisses,QueryCexCacheHits,Breaks,Returns,Switchs,IndirectBrs,Invokes,Resumes,Unreachables,CleanupRets,CatchRets,CatchPads,CatchSwitchs,FNegs,Adds,FAdds,Subs,FSubs,Muls,FMuls,UDivs,SDivs,FDivs,URems,SRems,FRems,Ands,Ors,Xors,Allocas,Loads,Stores,AtomicCmpXchgs,AtomicRMWs,Fences,GetElementPtrs,Truncs,ZExts,SExts,FPTruncs,FPExts,FPToUIs,FPToSIs,UIToFPs,SIToFPs,IntToPtrs,PtrToInts,BitCasts,AddrSpaceCasts,ICmps,FCmps,PHIs,Selects,Calls,Shls,LShrs,AShrs,VAArgs,ExtractElements,InsertElements,ShuffleVectors,ExtractValues,InsertValues,LandingPads,CleanupPads,Cond
179693,79,289,1844,838495.0,0,52107776,15,123,0,607123.0,5774,23829,204515,205712,204904,0,0,15,-1,24932,1105,2,0,0,0,0,0,0,0,0,0,8567,0,1267,0,81,0,4,0,0,1,0,0,159,20,19,5450,54266,36141,0,0,0,17184,871,5630,2694,0,0,0,0,0,0,3,123,161,0,13264,0,1279,4,6431,27,0,8,0,0,0,0,0,0,0,0,baseline
179693,79,289,1844,788571.0,0,52107200,14,116,0,532483.0,5774,23829,197693,198816,198061,0,0,14,-1,24932,1105,2,0,0,0,0,0,0,0,0,0,8567,0,1267,0,81,0,4,0,0,1,0,0,159,20,19,5450,54266,36141,0,0,0,17184,871,5630,2694,0,0,0,0,0,0,3,123,161,0,13264,0,1279,4,6431,27,0,8,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 0 arg00)))
179693,79,289,1844,864561.0,0,52110272,14,116,0,609620.0,5774,23829,188970,190154,189386,0,0,14,-1,24932,1105,2,0,0,0,0,0,0,0,0,0,8567,0,1267,0,81,0,4,0,0,1,0,0,159,20,19,5450,54266,36141,0,0,0,17184,871,5630,2694,0,0,0,0,0,0,3,123,161,0,13264,0,1279,4,6431,27,0,8,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 1 arg00)))
179693,79,289,1844,736834.0,0,52110272,14,116,0,539145.0,5774,23829,211996,213082,212402,0,0,14,-1,24932,1105,2,0,0,0,0,0,0,0,0,0,8567,0,1267,0,81,0,4,0,0,1,0,0,159,20,19,5450,54266,36141,0,0,0,17184,871,5630,2694,0,0,0,0,0,0,3,123,161,0,13264,0,1279,4,6431,27,0,8,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 2 arg00)))
179693,79,289,1844,878039.0,0,52107200,14,116,0,612953.0,5774,23829,205857,206936,206236,0,0,14,-1,24932,1105,2,0,0,0,0,0,0,0,0,0,8567,0,1267,0,81,0,4,0,0,1,0,0,159,20,19,5450,54266,36141,0,0,0,17184,871,5630,2694,0,0,0,0,0,0,3,123,161,0,13264,0,1279,4,6431,27,0,8,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 3 arg00)))
179693,79,289,1844,890925.0,0,52110272,14,116,0,590341.0,5774,23829,211029,212094,211413,0,0,14,-1,24932,1105,2,0,0,0,0,0,0,0,0,0,8567,0,1267,0,81,0,4,0,0,1,0,0,159,20,19,5450,54266,36141,0,0,0,17184,871,5630,2694,0,0,0,0,0,0,3,123,161,0,13264,0,1279,4,6431,27,0,8,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 4 arg00)))
179693,79,289,1844,848151.0,0,52111808,14,116,0,583391.0,5774,23829,195531,196610,195938,0,0,14,-1,24932,1105,2,0,0,0,0,0,0,0,0,0,8567,0,1267,0,81,0,4,0,0,1,0,0,159,20,19,5450,54266,36141,0,0,0,17184,871,5630,2694,0,0,0,0,0,0,3,123,161,0,13264,0,1279,4,6431,27,0,8,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 5 arg00)))
179693,79,289,1844,758660.0,0,52110272,14,116,0,616191.0,5774,23829,206756,207815,207126,0,0,14,-1,24932,1105,2,0,0,0,0,0,0,0,0,0,8567,0,1267,0,81,0,4,0,0,1,0,0,159,20,19,5450,54266,36141,0,0,0,17184,871,5630,2694,0,0,0,0,0,0,3,123,161,0,13264,0,1279,4,6431,27,0,8,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 6 arg00)))
179693,79,289,1844,750416.0,0,52107200,14,116,0,674691.0,5774,23829,210708,211910,211117,0,0,14,-1,24932,1105,2,0,0,0,0,0,0,0,0,0,8567,0,1267,0,81,0,4,0,0,1,0,0,159,20,19,5450,54266,36141,0,0,0,17184,871,5630,2694,0,0,0,0,0,0,3,123,161,0,13264,0,1279,4,6431,27,0,8,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 7 arg00)))
179693,79,289,1844,882614.0,0,52107776,15,123,0,619676.0,5774,23829,207410,208716,207912,0,0,15,-1,24932,1105,2,0,0,0,0,0,0,0,0,0,8567,0,1267,0,81,0,4,0,0,1,0,0,159,20,19,5450,54266,36141,0,0,0,17184,871,5630,2694,0,0,0,0,0,0,3,123,161,0,13264,0,1279,4,6431,27,0,8,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 8 arg00)))
